function,small,medium,large
ABS,true,true,true
ACCRINT,false,true,true
ACCRINTM,false,true,true
ACOSH,false,true,true
ACOT,false,true,true
ACOTH,false,true,true
ADDRESS,false,true,true
AMORLINC,false,false,true
ARABIC,false,false,true
AREAS,false,false,true
ASC,false,false,true
ASINH,false,true,true
ATAN2,true,true,true
ATANH,false,true,true
AVEDEV,false,true,true
AVERAGE,true,true,true
AVERAGEA,false,false,true
AVERAGEIF,true,true,true
AVERAGEIFS,false,false,true
BASE,false,false,true
BESSELI,false,true,true
BESSELJ,false,true,true
BESSELK,false,true,true
BESSELY,false,true,true
BETADIST,false,true,true
BETAINV,false,true,true
BIN2DEC,false,false,true
BIN2HEX,false,false,true
BIN2OCT,false,false,true
BINOM.DIST.RANGE,false,false,true
BINOMDIST,false,true,true
BITAND,false,false,true
BITLSHIFT,false,false,true
BITOR,false,false,true
BITRSHIFT,false,false,true
BITXOR,false,false,true
CEILING,false,true,true
CHAR,false,true,true
CHISQDIST,false,false,true
CHISQINV,false,false,true
CHOOSE,true,true,true
CLEAN,false,true,true
CODE,false,true,true
COLUMN,false,true,true
COLUMNS,true,true,true
COMBIN,false,true,true
COMBINA,false,false,true
COMPLEX,false,false,true
CONCATENATE,false,true,true
CONFIDENCE,false,true,true
CONVERT,false,true,true
CORREL,false,true,true
COS,true,true,true
COSH,false,true,true
COT,false,true,true
COTH,false,true,true
COUNT,true,true,true
COUNTA,true,true,true
COUNTBLANK,true,true,true
COUNTIF,true,true,true
COUNTIFS,false,false,true
COUPDAYBS,false,true,true
COUPDAYS,false,true,true
COUPDAYSNC,false,true,true
COUPNCD,false,true,true
COUPNUM,false,true,true
COUPPCD,false,true,true
COVAR,false,true,true
CRITBINOM,false,true,true
CSC,false,false,true
CSCH,false,false,true
CUMIPMT,false,true,true
CUMPRINC,false,true,true
DATE,true,true,true
DATEDIF,false,false,true
DATEVALUE,false,true,true
DAVERAGE,true,true,true
DAY,true,true,true
DAYS,false,false,true
DAYS360,false,true,true
DB,false,true,true
DDE,false,false,true
DEC2BIN,false,false,true
DEC2HEX,false,false,true
DEC2OCT,false,false,true
DECIMAL,false,false,true
DELTA,false,false,true
DEVSQ,false,true,true
DISC,false,true,true
DOLLARDE,false,true,true
DOLLARFR,false,true,true
DSTDEV,true,true,true
DSTDEVP,true,true,true
DSUM,true,true,true
DURATION,false,true,true
DVAR,true,true,true
DVARP,true,true,true
EDATE,false,false,true
EFFECT,false,true,true
EOMONTH,false,true,true
ERF,false,true,true
ERFC,false,true,true
ERROR.TYPE,false,false,true
EUROCONVERT,false,false,true
EVEN,true,true,true
EXACT,true,true,true
EXP,true,true,true
EXPONDIST,false,true,true
FACT,true,true,true
FACTDOUBLE,false,false,true
FALSE,true,true,true
FDIST,false,false,true
FIND,true,true,true
FINDB,false,false,true
FINV,false,false,true
FISHER,false,true,true
FISHERINV,false,true,true
FIXED,false,true,true
FLOOR,false,true,true
FORECAST,false,true,true
FORMULA,false,false,true
FREQUENCY,false,false,true
FTEST,false,true,true
FVSCHEDULE,false,false,true
GAMMA,false,false,true
GAMMADIST,false,true,true
GAMMAINV,false,true,true
GAMMALN,false,true,true
GAUSS,false,false,true
GCD,false,true,true
GEOMEAN,false,true,true
GESTEP,false,false,true
GETPIVOTDATA,false,false,true
GROWTH,false,false,true
HARMEAN,false,true,true
HEX2BIN,false,false,true
HEX2DEC,false,false,true
HEX2OCT,false,false,true
HLOOKUP,true,true,true
HOUR,true,true,true
HYPERLINK,false,false,true
HYPGEOMDIST,false,true,true
IF,true,true,true
IFERROR,false,false,true
IFNA,false,false,true
IMABS,false,false,true
IMAGINARY,false,false,true
IMARGUMENT,false,false,true
IMCONJUGATE,false,false,true
IMCOS,false,false,true
IMCOT,false,false,true
IMCSC,false,false,true
IMCSCH,false,false,true
IMDIV,false,false,true
IMEXP,false,false,true
IMLN,false,false,true
IMLOG10,false,false,true
IMLOG2,false,false,true
IMPOWER,false,false,true
IMPRODUCT,false,false,true
IMREAL,false,false,true
IMSEC,false,false,true
IMSECH,false,false,true
IMSIN,false,false,true
IMSQRT,false,false,true
IMSUB,false,false,true
IMSUM,false,false,true
IMTAN,false,false,true
INDEX,true,true,true
INDIRECT,false,false,true
INFO,false,false,true
INT,true,true,true
INTERCEPT,false,true,true
INTRATE,false,true,true
IPMT,false,false,true
ISEVEN,false,true,true
ISFORMULA,false,false,true
ISNUMBER,true,true,true
ISODD,false,true,true
ISOWEEKNUM,false,true,true
ISPMT,false,false,true
ISREF,false,false,true
ISTEXT,true,true,true
JIS,false,false,true
KURT,false,true,true
LARGE,false,true,true
LCM,false,true,true
LEFT,true,true,true
LEFTB,false,false,true
LEGACY.CHIDIST,false,true,true
LEGACY.CHIINV,false,true,true
LEGACY.CHITEST,false,true,true
LEGACY.FDIST,false,true,true
LEGACY.FINV,false,true,true
LEGACY.NORMSDIST,false,true,true
LEGACY.NORMSINV,false,true,true
LEGACY.TDIST,false,true,true
LEN,true,true,true
LENB,false,false,true
LINEST,false,true,true
LN,true,true,true
LOG,true,true,true
LOG10,true,true,true
LOGEST,false,true,true
LOGINV,false,true,true
LOGNORMDIST,false,true,true
LOOKUP,false,true,true
LOWER,true,true,true
MATCH,true,true,true
MAX,true,true,true
MAXA,false,false,true
MDETERM,false,false,true
MDURATION,false,true,true
MEDIAN,false,true,true
MID,true,true,true
MIDB,false,false,true
MIN,true,true,true
MINA,false,false,true
MINUTE,true,true,true
MINVERSE,false,true,true
MIRR,false,true,true
MMULT,false,true,true
MOD,true,true,true
MODE,false,true,true
MONTH,true,true,true
MROUND,false,true,true
MULTINOMIAL,false,true,true
MULTIPLE.OPERATIONS,false,false,true
MUNIT,false,false,true
NA,true,true,true
NEGBINOMDIST,false,true,true
NETWORKDAYS,false,true,true
NOMINAL,false,true,true
NORMDIST,false,false,true
NORMINV,false,false,true
NOT,true,true,true
NOW,true,true,true
NPER,true,true,true
NPV,true,true,true
NUMBERVALUE,false,false,true
OCT2BIN,false,false,true
OCT2DEC,false,false,true
OCT2HEX,false,false,true
ODD,true,true,true
ODDFPRICE,false,true,true
ODDFYIELD,false,true,true
ODDLPRICE,false,true,true
ODDLYIELD,false,true,true
OFFSET,false,true,true
OR,true,true,true
PDURATION,false,false,true
PEARSON,false,true,true
PERCENTILE,false,true,true
PERCENTRANK,false,true,true
PERMUT,false,true,true
PERMUTATIONA,false,false,true
PHI,false,false,true
PI,true,true,true
PMT,true,true,true
POISSON,false,true,true
POWER,true,true,true
PPMT,false,false,true
PRICE,false,true,true
PRICEDISC,false,false,true
PRICEMAT,false,true,true
PROB,false,true,true
PRODUCT,true,true,true
PROPER,true,true,true
PV,true,true,true
QUARTILE,false,true,true
QUOTIENT,false,true,true
RADIANS,true,true,true
RAND,false,true,true
RANDBETWEEN,false,true,true
RANK,false,true,true
RATE,true,true,true
RECEIVED,false,true,true
REPLACE,true,true,true
REPLACEB,false,false,true
REPT,true,true,true
RIGHT,true,true,true
RIGHTB,false,false,true
ROMAN,false,true,true
ROUND,true,true,true
ROUNDDOWN,false,true,true
ROUNDUP,false,true,true
ROW,false,true,true
ROWS,true,true,true
RRI,false,false,true
RSQ,false,true,true
SEARCH,false,false,true
SEARCHB,false,false,true
SEC,false,false,true
SECH,false,false,true
SECOND,true,true,true
SERIESSUM,false,true,true
SHEET,false,false,true
SHEETS,false,false,true
SIGN,false,true,true
SIN,true,true,true
SINH,false,true,true
SKEW,false,true,true
SKEWP,false,true,true
SLN,true,true,true
SLOPE,false,true,true
SMALL,false,true,true
SQRT,true,true,true
SQRTPI,false,true,true
STANDARDIZE,false,true,true
STDEV,true,true,true
STDEVA,false,true,true
STDEVP,true,true,true
STDEVPA,false,true,true
STEYX,false,true,true
SUBSTITUTE,true,true,true
SUBTOTAL,false,true,true
SUM,true,true,true
SUMIF,true,true,true
SUMIFS,false,false,true
SUMPRODUCT,false,true,true
SUMSQ,false,true,true
SUMX2MY2,false,true,true
SUMX2PY2,false,true,true
SUMXMY2,false,true,true
SYD,true,true,true
TAN,true,true,true
TANH,false,true,true
TBILLEQ,false,true,true
TBILLPRICE,false,true,true
TBILLYIELD,false,true,true
TEXT,false,false,true
TIME,true,true,true
TIMEVALUE,false,true,true
TINV,false,true,true
TODAY,true,true,true
TRANSPOSE,false,true,true
TREND,false,true,true
TRIM,true,true,true
TRIMMEAN,false,true,true
TRUE,true,true,true
TRUNC,true,true,true
TTEST,false,true,true
TYPE,false,true,true
UNICHAR,false,false,true
UNICODE,false,false,true
UPPER,true,true,true
VALUE,true,true,true
VAR,true,true,true
VARA,false,true,true
VARP,true,true,true
VARPA,false,false,true
VDB,false,true,true
VLOOKUP,true,true,true
WEEKDAY,true,true,true
WEEKNUM,false,true,true
WEIBULL,false,true,true
WORKDAY,false,true,true
XIRR,false,true,true
XNPV,false,true,true
XOR,false,false,true
YEAR,true,true,true
YEARFRAC,false,true,true
YIELD,false,true,true
YIELDDISC,false,true,true
YIELDMAT,false,true,true
ZTEST,false,true,true
